SiteName,TimeZoneDisplayName10,CrestronTimeZoneId,IgnoreDaylightSavingRules
GGC__,(UTC-06:00) Central America,12,FALSE
GILAV,(UTC-07:00) Arizona,8,FALSE
GILBE,(UTC-07:00) Arizona,8,FALSE
GOIAN,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",9,FALSE
GRNVL,(UTC-05:00) Eastern Time (US & Canada),14,FALSE
GUADA,"(UTC-06:00) Guadalajara, Mexico City, Monterrey",13,TRUE
GUATE,(UTC-06:00) Central America,12,FALSE
GUAYA,"(UTC-05:00) Bogota, Lima, Quito, Rio Branco",16,FALSE
HAGUE,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",40,FALSE
HALIF,(UTC-04:00) Atlantic Time (Canada),18,FALSE
HAMBU,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",40,FALSE
HARAR,"(UTC+02:00) Harare, Pretoria",47,FALSE
HARRI,(UTC-05:00) Eastern Time (US & Canada),14,FALSE
HARTF,(UTC-05:00) Eastern Time (US & Canada),14,FALSE
HAWAI,(UTC-10:00) Hawaii,3,FALSE
HEBER,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
HELEN,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
HELSI,"(UTC+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",45,FALSE
HERMO,"(UTC-07:00) Chihuahua, La Paz, Mazatlan",9,TRUE
HKONG,"(UTC+08:00) Beijing, Chongqing, Hong Kong, Urumqi",77,FALSE
HONOL,(UTC-10:00) Hawaii,3,FALSE
HOUST,(UTC-06:00) Central Time (US & Canada),10,FALSE
HUANC,"(UTC-05:00) Bogota, Lima, Quito, Rio Branco",16,FALSE
HUEHU,(UTC-06:00) Central America,12,FALSE
HUNTS,(UTC-05:00) Eastern Time (US & Canada),14,FALSE
IFALL,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
ILOIL,(UTC+08:00) Taipei,78,FALSE
INDIA,(UTC-05:00) Indiana (East),15,FALSE
IQUIT,"(UTC-05:00) Bogota, Lima, Quito, Rio Branco",16,FALSE
JAKAR,"(UTC+07:00) Bangkok, Hanoi, Jakarta",75,FALSE
JOAO_,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",9,FALSE
JOHAN,"(UTC+02:00) Harare, Pretoria",47,FALSE
JRIVE,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
JUCMX,"(UTC-06:00) Guadalajara, Mexico City, Monterrey",13,TRUE
JUNCT,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
JVILL,(UTC-05:00) Eastern Time (US & Canada),14,FALSE
KAHUL,(UTC-10:00) Hawaii,3,FALSE
KAMPA,(UTC+03:00) Nairobi,55,FALSE
KANAN,"(UTC+02:00) Harare, Pretoria",47,FALSE
KANSA,(UTC-06:00) Central Time (US & Canada),10,FALSE
KAOHS,(UTC+08:00) Taipei,78,FALSE
KINSH,(UTC+01:00) West Central Africa,41,FALSE
KNOXV,(UTC-05:00) Eastern Time (US & Canada),14,FALSE
KONA_,(UTC-10:00) Hawaii,3,FALSE
KUMAS,(UTC) Coordinated Universal Time,35,FALSE
KYIV_,"(UTC+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",45,FALSE
LAGOS,(UTC+01:00) West Central Africa,41,FALSE
LANGE,(UTC-08:00) Pacific Time (US & Canada),5,FALSE
LAOAG,(UTC+08:00) Taipei,78,FALSE
LAPAZ,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",19,FALSE
LAYTO,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
LEHI_,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
LETHB,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
LIMA_,"(UTC-05:00) Bogota, Lima, Quito, Rio Branco",16,FALSE
LIMLO,"(UTC-05:00) Bogota, Lima, Quito, Rio Branco",16,FALSE
LINDO,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
LISBO,"(UTC+00:00) Dublin, Edinburgh, Lisbon, London",33,FALSE
LMOUN,(UTC-08:00) Pacific Time (US & Canada),5,FALSE
LOGAN,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
LONDO,"(UTC+00:00) Dublin, Edinburgh, Lisbon, London",33,FALSE
LONDR,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",9,FALSE
LOUIS,(UTC-05:00) Eastern Time (US & Canada),14,FALSE
LPOOL,"(UTC+10:00) Canberra, Melbourne, Sydney",88,FALSE
LUAND,(UTC+01:00) West Central Africa,41,FALSE
LUBBO,(UTC-06:00) Central Time (US & Canada),10,FALSE
LUBUM,"(UTC+02:00) Harare, Pretoria",47,FALSE
LVEGA,(UTC-08:00) Pacific Time (US & Canada),5,FALSE
MACEI,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",19,FALSE
MADRI,"(UTC+01:00) Brussels, Copenhagen, Madrid, Paris",39,FALSE
MANAG,(UTC-06:00) Central America,12,FALSE
MANAU,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",9,FALSE
MANHA,(UTC-05:00) Eastern Time (US & Canada),14,FALSE
MANIL,(UTC+08:00) Taipei,78,FALSE
MANTI,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
MAPUT,"(UTC+02:00) Harare, Pretoria",47,FALSE
MARAC,(UTC-04:00) Caracas,18,FALSE
MBUJI,"(UTC+02:00) Harare, Pretoria",47,FALSE
MCALL,(UTC-06:00) Central Time (US & Canada),10,FALSE
MCKIN,(UTC-06:00) Central Time (US & Canada),10,FALSE
MEDEL,"(UTC-05:00) Bogota, Lima, Quito, Rio Branco",16,FALSE
MEDFO,(UTC-08:00) Pacific Time (US & Canada),5,FALSE
MELBO,"(UTC+10:00) Canberra, Melbourne, Sydney",88,FALSE
MEMPH,(UTC-06:00) Central Time (US & Canada),10,FALSE
MENDO,(UTC-03:00) City of Buenos Aires,27,FALSE
